radio,mcc,mnc,lac,cellid,unit,lon,lat,range,samples,changeable,created,updated,averageSignalStrength
UMTS,234,10,22028,1860742,193,-0.4067,51.47,1584,17,1,1458908598,1756585262,0
UMTS,234,10,22028,1850668,108,-0.3752,51.4657,648,29,1,1458908596,1756585262,0
LTE,234,20,1013,252417,0,-0.1186,51.552,6965,18,1,1424354974,1747687724,0
LTE,234,20,1022,351489,0,-0.1258,51.5018,825,50,1,1424623647,1750009866,0
LTE,234,20,1022,325632,0,-0.1358,51.5101,2887,99,1,1424904838,1719174683,0
LTE,234,20,1102,615681,0,0.0059,51.5205,1913,50,1,1424907328,1730765522,0
GSM,234,30,2214,51808,0,0.2271,51.425,1346,27,1,1425058678,1733335021,0
LTE,234,20,1075,470784,0,-0.0935,51.4714,500,50,1,1425132508,1729098783,0
LTE,234,20,1073,195072,0,-0.0734,51.4741,742,50,1,1425147860,1728847023,0
LTE,234,20,1076,259840,0,-0.099,51.466,803,32,1,1425149276,1728925682,0
LTE,234,20,1076,259842,0,-0.1052,51.4642,1826,70,1,1425149344,1723219568,0
LTE,234,20,1076,596993,0,-0.1059,51.464,1782,107,1,1425149400,1723312023,0
LTE,234,20,1076,596994,0,-0.1083,51.4637,500,116,1,1425149524,1723312023,0
GSM,234,30,2189,34004,0,-0.3199,51.2947,5017,46,1,1425237438,1725822483,0
LTE,234,20,1076,168192,0,-0.1162,51.4637,3963,104,1,1425320707,1722353642,0
LTE,234,20,1076,168449,0,-0.1134,51.4636,500,108,1,1425321127,1723219567,0
LTE,234,20,1076,168193,0,-0.1127,51.4588,4060,108,1,1425321182,1722173221,0
LTE,234,20,1036,209666,0,-0.0979,51.5743,2875,48,1,1425730190,1747687724,0
